* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Oct 13 2021 17:22:39

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
128, PIO_GBIN, ICE_IOT_197,  , , SB_LVCMOS, Pull Up, , topBank
129, PIO_GBIN, ICE_IOT_198,  , , SB_LVCMOS, Pull Up, , topBank
130, PIO, IAC_FLT0, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
131, VCCIO_0, not used, , , , , , topBank
132, GND, not used, , , , , , UnknownBank
134, PIO, IAC_FLT1, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
135, PIO, IAC_CLK, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
136, PIO, IAC_CS, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
137, PIO, IAC_SCLK, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
138, PIO, IAC_MOSI, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
139, PIO, IAC_MISO, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
140, GND, not used, , , , , , UnknownBank
141, PIO, IAC_DRDY, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
142, PIO, AC_ADC_SYNC, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
143, PIO, ICE_IOT_221,  , , SB_LVCMOS, Pull Up, , topBank
144, PIO, ICE_IOT_222,  , , SB_LVCMOS, Pull Up, , topBank
Total Number of Used Pins, 103
